matrix,P,A,S,C,L/S,L/A,L/P,A/P,gA,gP,GenSD,VulSD,mJP,mJA,maxJP,maxJA,NODFst,N_LowHigh,#A,#P,meandegA,maxdegA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,37,48,0.30467,2.5833,3.3514,11.273,3.3636,0.37068,0.226,8.5522,65.555,0.26553,0.21021,0.43473,0.73303,0.29045,1,37,11,3.3514,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,24,35,0.28788,2.1714,3.1667,6.9091,2.1818,0.32143,0.30032,8.5923,21.948,0.29049,0.17572,0.48171,0.62532,0.23044,1,24,11,3.1667,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8,37,45,0.17905,1.1778,1.4324,6.625,4.625,1.0022,0.036304,0.98669,81.827,0.048777,0.69059,0.23874,0.96847,0.6153,1,37,8,1.4324,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,34,44,0.22941,1.7727,2.2941,7.8,3.4,0.63556,0.15327,4.1705,55.007,0.18428,0.28062,0.34599,0.79286,0.43457,1,34,10,2.2941,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,34,44,0.20882,1.6136,2.0882,7.1,3.4,0.66851,0.087568,3.1843,62.118,0.11597,0.40175,0.2547,0.81751,0.76544,1,34,10,2.0882,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8,7,15,0.25,0.93333,2,1.75,0.875,0.42407,0.5138,5.2915,3.7123,0.78571,0.75,0.89286,0.875,-0.33949,0,7,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,22,32,0.24091,1.6563,2.4091,5.3,2.2,0.51353,0.32448,5.3436,20.458,0.25099,0.21279,0.46363,0.71136,0.43217,1,22,10,2.4091,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12,36,48,0.27778,2.5,3.3333,10,3,0.43005,0.16615,8.5449,47.863,0.22943,0.16967,0.37813,0.59167,0.13647,1,36,12,3.3333,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11,33,44,0.2865,2.3636,3.1515,9.4545,3,0.48169,0.33513,8.9874,39.746,0.29826,0.16578,0.44751,0.70575,0.24178,1,33,11,3.1515,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9,31,40,0.22222,1.55,2,6.8889,3.4444,0.64762,0.11991,3.1411,55.159,0.20498,0.37843,0.40837,0.82168,0.65717,1,31,9,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
